event_id,published_at,source,asset,event_type,direction_hypothesis,time_horizon,return_1h_pct,return_4h_pct,return_24h_pct,benchmark,abnormal_return_4h_pct,flow_direction,smart_money_direction,technical_direction,hypothesis_alignment,attribution_level,causality_status,confidence,title,url,conclusion
news-015-BNB,2026-08-18T08:43:04+00:00,TechFlow 深潮,BNB,exchange,positive,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,“牛来”榜一地址持续抛售约 36 万美元代币，仍持仓 48.6 万美元,https://www.techflowpost.com/newsletter/detail_132432.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-016-BTC,2026-08-18T06:09:35+00:00,Cointelegraph,BTC,regulation,unclear,1d_to_4w,-0.1851,-0.1792,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 -0.18%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-017-BNB,2026-08-17T18:45:00+00:00,Cointelegraph,BNB,exchange,positive,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,Binance to plan UK relaunch with FCA license application: Report,https://cointelegraph.com/news/binance-uk-launch-plans-fca-license?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-018-ETH,2026-08-17T16:04:32+00:00,Cointelegraph,ETH,rwa,unclear,1d_to_4w,0.0886,-0.0257,,BTC,-0.491,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Bitmine nears 5% of Ethereum supply despite $8.4B in unrealized losses,https://cointelegraph.com/news/bitmine-ethereum-supply-5-82-million-eth-staking?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ETH 在事件后 4 小时收益 -0.03%，相对基准异常收益 -0.49%；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-050-BTC,2026-08-18T12:14:05+00:00,TechFlow 深潮,BTC,market_news,positive,intraday_to_3d,0.0,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,花旗推出 Custody+ 托管解决方案套件，计划年内上线比特币托管,https://www.techflowpost.com/newsletter/detail_132462.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-051-BTC,2026-08-18T09:31:15+00:00,Cointelegraph,BTC,market_news,unclear,intraday_to_3d,0.0481,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Bitcoin price spike to $64.5K was ‘low-volume liquidity trap’: Analysis,https://cointelegraph.com/markets/bitcoin-price-spike-to-645k-was-low-volume-liquidity-trap-analysis?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-052-ETH,2026-08-18T05:12:18+00:00,Cointelegraph,ETH,market_news,positive,intraday_to_3d,0.3798,0.0686,,BTC,0.2636,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Ethereum Foundation warns some tools may break with Glamsterdam upgrade,https://cointelegraph.com/news/ethereum-foundation-warns-some-tools-may-break-with-glamsterdam-upgrade?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ETH 在事件后 4 小时收益 +0.07%，相对基准异常收益 +0.26%；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-053-SOL,2026-08-17T18:29:56+00:00,Decrypt,SOL,market_news,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,Solana’s Pump Token Leads Crypto Market Gainers as Chart Paints Golden Cross,https://decrypt.co/375788/solana-pump-price-crypto-market-golden-cross,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-054-ETH,2026-08-17T18:19:46+00:00,Decrypt,ETH,market_news,positive,intraday_to_3d,-0.1445,-0.2859,,BTC,-0.0128,unavailable,unavailable,unavailable,opposed,L1,temporal_association,0.4,Ethereum Developers Target Privacy Changes in Next Major Upgrade,https://decrypt.co/375787/ethereum-developers-privacy-hegota-upgrade,ETH 在事件后 4 小时收益 -0.29%，相对基准异常收益 -0.01%；多信号关系为 opposed，归因等级 L1，不等同于因果证明。
news-055-BTC,2026-08-17T16:16:40+00:00,Cointelegraph,BTC,market_news,unclear,intraday_to_3d,0.3279,0.432,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Bitcoin hits $64K as gold gains while oil shakes off Trump Oman threat,https://cointelegraph.com/markets/bitcoin-hits-64k-as-gold-gains-while-oil-shakes-off-trump-oman-threat?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 +0.43%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
